|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|上期所  |铜                |     cu1907     |   卖|投机        | 46310.000|     1|   231550.00|开                |     11.72|        0.00|                 0.00|000000883663|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46230.000|     1|   231150.00|平今              |      0.14|     -200.00|                 0.00|000000936150|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46210.000|     1|   231050.00|平今              |      0.14|      500.00|                 0.00|000001006530|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46150.000|     2|   461500.00|开                |     23.35|        0.00|                 0.00|000001163096|
|20190603|上期所  |铜                |     cu1907     |   卖|投机        | 46200.000|     1|   231000.00|平今              |      0.14|      250.00|                 0.00|000001370717|
|20190603|上期所  |铜                |     cu1907     |   卖|投机        | 46210.000|     1|   231050.00|平今              |      0.14|      300.00|                 0.00|000001371150|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002000715|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46160.000|     1|   230800.00|开                |     11.68|        0.00|                 0.00|000002049273|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46160.000|     1|   230800.00|开                |     11.68|        0.00|                 0.00|000002049728|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46160.000|     5|  1154000.00|开                |     58.39|        0.00|                 0.00|000002049737|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46160.000|     2|   461600.00|开                |     23.36|        0.00|                 0.00|000002060095|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46150.000|     2|   461500.00|开                |     23.35|        0.00|                 0.00|000002063252|
